,0
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,2586.9118407875176
2020-01-13,2645.748313726984
2020-01-14,2753.037347091017
2020-01-15,2690.724267211596
2020-01-16,2545.8754790304665
2020-01-17,2769.131093749673
2020-01-18,2747.1163810970825
2020-01-19,2988.81582485123
2020-01-20,3061.309078990372
2020-01-21,3049.731273015273
2020-01-22,2859.7635014955285
2020-01-23,2777.840838080513
2020-01-24,2833.0365760458085
2020-01-25,2887.2943747459876
2020-01-26,2823.824301250782
2020-01-27,2931.125085403172
2020-01-28,3194.3536588043316
2020-01-29,3307.8073004604144
2020-01-30,3337.386577865638
2020-01-31,3050.8881782916264
2020-02-01,2900.775012619416
2020-02-02,2642.3545019411863
2020-02-03,2796.65048388576
2020-02-04,2974.298755522427
2020-02-05,2694.3351615216843
2020-02-06,2511.464267262799
2020-02-07,2581.5412534107118
2020-02-08,2348.5448433905653
2020-02-09,2244.0000933914916
2020-02-10,2036.5614880660366
2020-02-11,1872.0731432463715
2020-02-12,1964.8572016042856
2020-02-13,2121.7901498692327
2020-02-14,2160.806129056331
2020-02-15,1832.9048626923966
2020-02-16,1674.214809349157
2020-02-17,1858.5241896327736
2020-02-18,1931.2827396164237
2020-02-19,1866.4784313731006
2020-02-20,1939.7869784491088
2020-02-21,2059.1373490224178
2020-02-22,1991.333994776233
2020-02-23,1842.1197482457803
2020-02-24,1772.2086355637048
2020-02-25,1953.909316942079
2020-02-26,1985.4884847010612
2020-02-27,2304.1764405695208
2020-02-28,2369.1522932459193
2020-02-29,2408.2738321288825
2020-03-01,2500.1699805341605
2020-03-02,2453.2099977601183
2020-03-03,2460.861916607801
2020-03-04,2380.094341535933
2020-03-05,2458.767341735148
2020-03-06,2796.356340865829
2020-03-07,2847.309190604502
2020-03-08,2727.079084684743
2020-03-09,2704.0170873740726
2020-03-10,2574.4553850184884
2020-03-11,2636.1537316350928
2020-03-12,2618.269630759653
2020-03-13,2580.684092320871
2020-03-14,2457.3514319779133
2020-03-15,2543.6902122448673
2020-03-16,2234.6492556150597
